ID,Service,Finding,Compliance Mapping,Severity,Remediation Plan,Owner,Status,Evidence
A-001,S3,Public bucket found with unrestricted access (0.0.0.0/0).,"CIS 3.1, ISO 27001 A.9.1.2",High,Enable S3 Block Public Access at account level; restrict IAM bucket policies.,Cloud Security Team,Open,"Security Hub finding export, S3 config screenshot"
A-002,IAM,IAM user without MFA enabled.,"CIS 1.2, ISO 27001 A.9.4.2",High,Enforce MFA policy; notify user; disable access until MFA configured.,GRC Analyst,Closed,Evidence/iam_mfa_after.png; findings/securityhub_findings_after2.json
A-003,RDS,RDS instance not encrypted with KMS.,"CIS 2.1, ISO 27001 A.10.1",High,Enable encryption for new instances; migrate existing unencrypted DBs.,DBA,Open,"AWS Config rule non-compliance, CLI output `aws rds describe-db-instances`"
A-004,EC2,EC2 instance with unrestricted SSH access (port 22 open to 0.0.0.0/0).,"CIS 4.1, ISO 27001 A.13.1.1",Medium,Restrict security group rules; enforce use of bastion host or VPN.,DevOps,Open,"Config rule snapshot, Security Group configuration screenshot"
A-005,GuardDuty,Reconnaissance activity detected (port scanning from external IP).,"NIST CSF (DE.CM-7), ISO 27001 A.12.4",Medium,Investigate GuardDuty finding; block offending IP; review network logs.,Security Operations,Open,"GuardDuty findings export (JSON), CloudTrail event log"
A-006,S3,Public bucket or policy grants * to everyone,CIS 3.1; ISO 27001 A.9/A.13,High,Enable account-level Block Public Access; tighten bucket policy; require IAM condition keys,Cloud Sec Team,Open,findings/securityhub_findings.json
A-007,IAM,User/role without MFA or with inline admin policy,CIS 1.2/1.16; ISO 27001 A.9,High,Enforce MFA; remove admin privileges; apply least-privilege managed policies,GRC Analyst,In Progress,findings/securityhub_findings.json
A-008,RDS,DB instance/snapshot not encrypted,CIS 2.1; ISO 27001 A.10,High,Enable KMS default encryption; migrate unencrypted instances; block public snapshots,DBA,Open,findings/securityhub_findings.json
A-009,EC2,Security Group allows 0.0.0.0/0 (SSH/3389),CIS 4.1; ISO 27001 A.13,Medium,Restrict to corporate IP/bastion/VPN; add Config rule to prevent open ingress,DevOps,Closed,findings/securityhub_findings.json
A-010,GuardDuty,Recon/port scanning from external IP,NIST CSF DE.CM; ISO 27001 A.12,Medium,Investigate source IP; block at NACL/WAF; review VPC Flow Logs,SOC,Open,findings/guardduty_findings.json
A-011,Access Analyzer,External access to role/bucket detected,NIST CSF PR.AC; ISO 27001 A.9,High,Remove external principals or add condition keys; re-review sharing,GRC/Cloud,Open,findings/access_analyzer_findings_active.json
M-001,Metrics,Track MTTR for resolved findings,CIS 1.1 / ISO 27001 A.12,Info,Calculate and publish MTTR each sprint/quarter,GRC Analyst,In Progress,AWS_Compliance_Audit_Remediation/findings/mttr_resolved_findings.csv
