ID,Risk Statement,Asset/Service,Threat,Vulnerability,Likelihood (1-5),Impact (1-5),Inherent Risk (LxI),Existing Controls,Treatment,Mitigating Controls (Planned),Control Owner
R-001,S3 bucket accidentally exposed publicly leading to data disclosure.,Amazon S3,External actor,Misconfigured bucket policy/ACL,3,5,15,"S3 Block Public Access, SCPs, Security Hub controls",Mitigate,Enable BPA at account level; Config rule S3 public access prohibited,Cloud/GRC Analyst
R-002,IAM users with excessive privileges may perform unauthorized actions.,AWS IAM,Insider/compromised creds,Overly permissive policies (iam:* or admin access),3,4,12,"MFA enforced, Access Analyzer, reviews",Mitigate,"Refactor policies, enforce least privilege, periodic reviews",Cloud/GRC Analyst
R-003,RDS snapshots unencrypted leading to data exposure if exfiltrated.,Amazon RDS,External/insider,Unencrypted storage/snapshots,2,5,10,"KMS enabled for new DBs, Security Hub checks",Mitigate,Enforce encryption-by-default; convert legacy snapshots,DBA / Cloud
R-004,CloudTrail disabled in a region could prevent detection of malicious activity.,AWS CloudTrail,Insider/Attacker,Logging not enforced in all regions,3,4,12,CloudTrail enabled in some accounts,Mitigate,Enforce org-wide CloudTrail via SCP and AWS Config,Cloud Security Team
R-005,IAM root account usage may cause uncontrolled privileged actions.,AWS IAM,Insider/Compromise,Root credentials in use,2,5,10,Root account protected with MFA,Mitigate,"Remove root keys, CloudWatch alerts for root usage",CISO
R-006,Misconfigured Security Groups expose EC2 instances to the internet.,EC2 / VPC,External attacker,Open ports (0.0.0.0/0),4,5,20,"Default SG restrictions, GuardDuty findings",Mitigate,AWS Config deny open ports; SOC monitoring,DevOps
R-007,Lack of quarterly IAM access reviews may lead to excessive privileges.,AWS IAM,Insider,Access creep,3,3,9,Ad-hoc reviews,Mitigate,"Enforce quarterly access reviews, automate reports",GRC Analyst
R-008,RDS snapshots shared publicly by mistake may leak sensitive data.,Amazon RDS,External,Misconfigured snapshot sharing,2,5,10,Security Hub rules,Mitigate,Config rules to detect/auto-remediate snapshot sharing,DBA
R-009,GuardDuty disabled or not enabled in all accounts may reduce threat detection.,AWS GuardDuty,External/Insider,Misconfiguration or intentional disablement,3,4,12,Enabled in primary accounts,Mitigate,"Centralize via AWS Organizations, auto-enable GuardDuty",Cloud Security Team
R-010,Unencrypted EBS volumes may result in data exposure if stolen.,Amazon EBS,External/Insider,Volumes not encrypted,3,4,12,Encryption enforced for new volumes,Mitigate,"Convert legacy volumes, enforce default encryption",Cloud/DevOps
